"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1982,1,1,3940411.47770185,0.119283230647549,470025.011140961
1983,1,1,10014282.7328411,0.124436102139499,1246138.30899763
1984,1,1,7034705.27754871,0.129540574678664,911279.764348689
1985,1,1,8609769.93533989,0.151560860142088,1304904.1370256
1986,1,1,7859056.49145143,0.131813611734373,1035930.62096268
1987,1,1,8525388.88936828,0.121293146732251,1034071.24550765
1988,1,1,12954570.1385313,0.143144552938524,1854376.15099082
1989,1,1,11061814.0784421,0.12527038757001,1385717.73683383
1990,1,1,12135273.1450844,0.140298685170138,1702562.86643582
1991,1,1,8880847.00445419,0.116900291320693,1038173.6019952
1992,1,1,8123776.42220389,0.119837079548114,973529.641338744
1993,1,1,9454984.60927809,0.105322893966678,995826.341459573
1994,1,1,8625132.48247279,0.117293841587005,1011674.9230661
1995,1,1,5430888.81486005,0.129574089775289,703702.474856285
1996,1,1,5031852.2660539,0.11149013061632,561001.866384375
1997,1,1,4833499.70567715,0.118030341219012,570499.619543066
1998,1,1,4139347.78191983,0.114889241007895,475566.524932483
1999,1,1,6511659.6736472,0.13272994754997,864292.246946449
2000,1,1,7481952.42399461,0.121654448792668,910212.798034035
2001,1,1,7116601.45900643,0.113043938207432,804488.655578844
2002,1,1,7276485.78255731,0.108309432390881,788112.044909101
2003,1,1,11178758.613317,0.110348696228273,1233561.43843011
2004,1,1,6626228.35566081,0.109528665796029,725761.951055343
2005,1,1,7857754.76612183,0.117614330154105,924184.563332643
2006,1,1,5256845.02967539,0.119410839842643,627724.279916164
2007,1,1,6152205.52125027,0.158681761295396,976242.807963254
2008,1,1,4637792.09757154,0.152042522326999,705141.608542999
2009,1,1,3187138.8768003,0.166707098509757,531318.674699023
2010,1,1,5656483.67219478,0.147216202224696,832726.04416652
2011,1,1,5476343.91592809,0.12023032333626,658422.599712593
2012,1,1,5716063.48685431,0.112687455216193,644128.64818781
2013,1,1,8267992.68217967,0.128757831404005,1064568.80782164
2014,1,1,14472580.2406401,0.109878585858328,1590226.65056273
